Participant,isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ1,EMPQ2,EMPQ3,EMPQ4,EMPQ5,EMPQ6,EMPQ7,EMPQ8,EMPQ9,EMPQ10,EMPQ11,EMPQ12,EMPQ13,EMPQ14,EMPQ15,EMPQ16,EMPQ17,EMPQ18,EMPQ19,EMPQ20,EMPQ21,EMPQ22,EMPQ23,EMPQ24,EMPQ25,EMPQ26,EmpQ1_Rev,EmpQ6_Rev,EmpQ7_Rev,EmpQ9_Rev,EmpQ10_Rev,EmpQ15_Rev,EmpQ20_Rev,EmpQ22_Rev,EmpQ23_Rev,EmpQ24_Rev,EmpQ25_Rev,EMPQ_emotional,EMPQ_cognitive,EMPQ_IRI_motiv,filter_$
11,0,13.56986301,2,2,1,5,1,4,4,5,2,4,4,5,1,5,3,5,3,4,2,3,2,4,5,1,4,5,4,1,5,1,4,4,4,5,3,4,5,2,3,4,2,2,4,1,3,3,4,4,1,4,2,3,4,3,2,4,3,2,3,2,4,1,4,2,3,4,2,2,2,1,3,3,4,3,3,4,4,3,4,4,4,5,2.818181818,3.777777778,3.833333333,1
12,0,13.59178082,1,4,3,4,1,4,4,5,2,4,5,3,1,5,3,4,4,4,2,3,2,2,4,2,5,4,5,2,5,2,4,1,5,4,5,3,4,3,4,2,4,2,3,1,3,1,4,5,1,2,2,2,4,1,1,4,4,3,4,2,4,2,4,2,2,3,2,1,2,2,3,5,4,4,5,5,4,4,4,5,4,4,3.272727273,4.222222222,3.833333333,1
13,0,13.67123288,1,4,4,4,1,5,1,5,4,1,4,5,1,4,5,4,2,4,2,5,5,2,5,1,2,4,5,2,4,2,2,4,5,4,1,5,5,2,4,2,4,4,5,4,2,2,4,4,4,2,4,3,3,3,2,4,3,5,3,2,5,4,4,2,2,5,3,1,2,2,4,4,2,3,3,4,4,4,3,5,4,4,3.636363636,3.777777778,3.666666667,1
14,0,13.67123288,2,5,2,5,1,4,4,4,4,5,5,4,4,5,2,5,4,3,5,2,4,1,3,4,5,5,5,3,5,1,4,3,3,5,5,1,4,4,5,4,4,4,5,3,4,5,5,5,1,3,1,2,4,3,3,4,5,1,5,3,5,1,4,3,2,5,2,1,1,2,4,1,5,4,3,3,3,4,4,5,5,4,2.636363636,4.777777778,4,1
15,0,13.76438356,2,5,4,3,1,4,2,3,2,2,4,3,4,5,5,4,3,3,5,5,3,1,4,4,3,4,5,3,4,4,4,2,3,4,4,4,5,5,3,5,4,4,3,4,3,3,2,3,3,1,3,4,3,4,3,3,3,5,2,3,4,3,4,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2.727272727,3.111111111,2.833333333,1
16,0,13.8,1,3,1,2,1,3,2,5,3,4,4,5,1,4,4,4,4,3,1,2,3,2,2,1,4,2,4,1,1,1,4,2,5,4,4,3,5,1,1,1,3,4,4,2,4,1,1,5,1,2,1,3,4,1,3,4,4,4,4,1,4,1,4,2,3,4,3,1,1,2,4,5,5,3,5,3,5,3,3,5,5,4,2.727272727,4.444444444,4,1
17,0,13.84931507,1,4,2,4,3,5,4,5,1,3,5,4,1,4,4,4,4,5,2,5,5,3,4,2,3,4,4,3,5,4,4,5,5,4,4,5,2,3,4,4,4,4,5,2,3,1,4,5,4,3,4,2,4,2,1,5,4,3,4,2,5,4,5,3,2,4,2,1,1,5,4,5,2,4,4,5,4,4,4,5,5,1,3.909090909,4.444444444,3.5,1
18,0,13.92328767,2,3,3,3,3,4,3,4,4,2,4,2,2,3,4,4,3,4,4,4,4,3,4,5,2,3,2,4,4,4,5,5,4,2,1,4,3,3,3,4,4,3,3,5,3,2,3,4,3,4,2,3,3,3,2,4,4,3,3,2,4,3,3,4,3,3,3,2,0,1,4,4,4,3,3,4,4,3,3,4, ,5,3.454545455,3.75,3.5,1
19,0,13.95068493,2,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,4,4,4,4,3,3,3,3,4,3,3,3,2,2,2,2,4,3,4,3,4,3,2,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3.272727273,3.222222222,2.833333333,1
20,0,13.96986301,1,2,3,3,3,4,4,3,2,3,5,5,2,5,4,5,5,2,4,3,4,4,4,3,4,4,5,5,3,4,3,2,3,4,2,2,4,4,4,4,4,3,3,2,2,3,3,5,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.909090909,3.333333333,3,1
21,0,14.01643836,2,5,1,5,1,5,3,5,1,4,5,5,4,5,4,5,5,5,5,5,5,4,5,1,1,5,5,2,5,4,4,5,5,5,4,3,5,3,5,5,4,5,4,4,5,1,5,5,4,4,1,1,4,1,1,5,5,2,5,2,5,4,5,4,1,4,2,1,1,0,4,5,5,5,5,5,4,5,4,5,5, ,4.272727273,5,4.2,1
22,0,14.02739726,1,5,4,4,4,5,3,2,2,3,4,3,2,3,4,5,2,2,2,5,5,4,3,3,1,4,2,4,4,5,4,5,2,5,2,4,2,3,4,3,5,4,2,3,2,3,4,4,4,3,2,4,2,3,3,4,3,4,2,4,2,3,3,2,3,3,4,3,2,4,1,3,4,2,3,3,2,3,2,3,4,2,3,3.222222222,2.166666667,1
23,0,14.03561644,2,4,2,3,1,4,3,4,3,4,4,4,1,4,3,4,2,5,2,2,4,3,4,3,4,4,3,1,3,2,4,4,4,4,4,4,4,1,4,2,4,3,3,2,2,4,4,5,5,5,2,3,4,2,1,4,5,5,4,2,5,4,4,3,1,4,5,2,1,1,5,2,4,3,4,5,4,5,1,4,5,5,4.090909091,4.444444444,3.833333333,1
24,0,14.09315068,1,5,5,5,3,4,5,5,4,3,5,4,1,4,5,4,5,3,3,5,5,2,3,4,2,4,4,1,4,3,4,1,4,4,2,2,4,1,4,1,4,5,4,5,5,3,3,4,2,4,2,3,4,3,1,3,4,3,3,4,4,3,3,3,3,4,3,4,3,1,5,3,4,3,3,5,2,3,3,2,3,5,3.090909091,3.333333333,4,1
25,0,14.09863014,2,4,2,3,1,3,1,3,5,1,3,3,1,5,1,3,3,4,5,3,3,1,5,5,3,2,5,3,1,1,5,1,5,4,1,5,5,4,2,5,1,3,3,5,2,1,3,5,5,1,1,1,4,1,1,4,5,5,5,2,5,1,5,2,2,5,3,1,1,1,5,5,5,5,5,5,4,4,3,5,5,5,3.636363636,4.888888889,4.5,1
26,0,14.17534247,2,5,3,2,4,3,2,5,5,1,5,5,2,5,5,2,5,5,4,4,5,1,3,5,2,2,4,4,2,4,2,4,5,3,2,3,5,5,3,5,2,2,5,5,5,5,5,4,1,5,3,1,5,3,1,5,3,5,5,3,5,2,5,5,1,4,3,2,2,4,5,1,3,5,3,5,3,5,3,4,4,2,3.818181818,4.222222222,3.666666667,1
27,0,14.2109589,1,4,3,3,1,5,4,5,3,4,5,5,1,5,4,5,5,4,3,4,5,2,5,1,4,5,5,1,5,3,4,3,5,5,3,4,5,3,5,3,4,3,5,4,3,3,3,4,2,3,2,2,2,2,2,4,4,3,0,3,3,2,4,4,3,5,2,4,2,1,4,3,4,4,4,4,3,3,4,2,4,5,3.090909091,3.625,4,1
28,0,14.21369863,1,5,1,3,1,5,2,5,4,2,5,5,2,4,4,3,3,5,5,3,5,1,5,4,1,5,3,1,2,1,3,3,4,3,1,2,5,3,3,4,5,3,4,5,4,5,5,4,4,4,2,1,2,3,2,4,3,5,3,2,5,4,4,5,2,4,4,2,1,2,3,1,4,5,3,4,4,4,2,4,5,4,4.090909091,4,3,1
29,0,14.22465753,1,4,2,4,1,4,3,5,3,3,5,5,2,5,1,4,4,5,4,2,5,2,4,4,4,5,5,1,4,2,4,3,4,4,3,4,5,2,4,4,5,5,5,4,4,4,2,4,2,2,2,2,3,4,1,4,3,2,4,2,4,2,4,2,2,4,2,2,2,1,4,2,4,4,2,5,4,4,4,4,4,5,2.818181818,3.888888889,3.666666667,1
30,0,14.22465753,2,3,2,4,2,4,2,3,2,3,5,4,2,4,4,4,4,3,2,3,5,3,3,2,3,5,3,3,4,3,4,4,4,4,3,4,4,1,4,4,4,2,4,2,4,2,3,4,2,2,3,3,3,3,3,4,4,2,4,3,4,2,4,2,4,4,4,2,2,2,4,4,3,3,3,3,3,2,2,4,4,4,2.545454545,3.888888889,3.333333333,1
31,0,14.25205479,2,4,2,3,1,4,3,5,3,4,4,5,1,4,2,4,3,3,2,3,4,3,4,3,2,2,4,4,3,3,4,2,4,4,5,4,5,2,3,3,4,1,3,2,4,2,4,5,3,2,2,2,4,2,3,3,4,2,4,4,4,2,4,4,2,4,3,1,1,4,4,4,4,4,4,3,2,4,3,5,5,2,3.090909091,4.222222222,3.5,1
32,0,14.54520548,2,5,2,5,4,5,3,4,4,4,5,5,1,4,5,4,4,4,1,4,5,2,1,2,2,5,4,2,4,4,4,2,4,4,4,4,5,2,4,4,5,2,3,5,5,1,4,5,5,5,2,1,5,5,1,5,4,5,4,2,4,2,4,3,2,4,1,2,2,2,4,5,4,5,1,5,4,4,5,4,4,4,4.272727273,4.222222222,3.833333333,1
33,0,14.55068493,2,4,3,4,3,5,5,4,4,5,4,3,1,5,4,4,4,3,2,5,5,4,4,3,3,3,5,5,4,4,4,5,4,3,4,1,4,4,4,4,4,2,2,5,5,1,5,5,3,3,2,1,4,2,1,4,4,5,4,3,4,3,4,3,1,4,2,1,2,2,3,5,4,5,4,5,3,5,4,5,4,4,4.090909091,4.222222222,3.833333333,1
34,0,14.69041096,1,4,3,5,2,4,3,4,4,4,4,3,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,4,5,2,4,2,3,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,3.181818182,3.333333333,3,1
35,0,14.78630137,1,3,3,4,2,3,5,4,4,4,3,4,1,4,5,4,4,5,2,4,4,4,4,3,4,2,4,1,3,3,4,4,4,3,4,4,4,2,4,1,3,4,4,5,2,2,3,4,4,5,1,1,3,2,1,4,5,3,4,2,5,3,5,3,3,4,4,1,1,1,4,4,5,5,4,5,4,3,2,5,5,5,3.818181818,4.666666667,3.666666667,1
36,0,14.88219178,2,3,4,3,3,4,2,4,2,3,3,2,3,2,3,2,3,2,4,2,4,3,3,4,4,2,4,2,3,4,2,4,3,4,3,4,3,4,2,3,2,4,3,2,4,4,3,4,4,2,4,2,4,3,2,4,3,4,3,4,2,4,3,3,4,2,4,3,4,3,4,2,2,4,3,4,2,2,2,3,2,3,3.090909091,2.888888889,3,1
37,0,14.95342466,1,3,3,4,1,5,2,4,3,4,5,3,3,5,1,5,4,5,2,2,5,3,4,2,5,5,4,2,4,2,3,3,3,5,5,1,4,3,5,4,5,5,4,2,1,5,2,5,1,2,5,2,3,3,5,3,4,1,2,4,4,1,5,2,5,4,3,3,2,2,3,1,1,4,3,1,2,1,3,3,4,4,1.636363636,3.444444444,3.333333333,1
38,0,14.96986301,2,4,4,3,2,3,2,1,1,2,5,3,3,4,5,3,3,1,2,5,4,2,4,3,2,2,4,4,3,4,5,3,3,3,2,2,4,2,3,4,4,2,3,2,3,4,4,4,5,4,2,1,3,2,2,4,4,5,5,1,4,2,4,3,2,5,2,2,1,1,4,2,4,5,4,4,5,4,4,4,5,5,3.909090909,4.222222222,4.166666667,1
39,0,14.9890411,1,3,3,3,3,3,3,4,4,3,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
40,0,15.03287671,1,1,2,3,2,4,4,4,4,4,5,3,2,4,3,5,3,4,4,3,4,4,4,4,4,4,3,4,5,3,1,4,4,4,5,4,4,3,3,3,4,5,4,2,1,3,4,4,2,2,3,3,4,2,3,3,2,3,3,3,4,3,4,2,3,3,4,4,2,4,3,3,3,3,4,3,3,3,2,2,4,2,2.818181818,3.222222222,3,1
41,0,15.43287671,1,3,4,4,2,3,5,5,2,4,5,3,1,5,5,3,1,5,5,5,4,5,5,3,2,3,3,4,3,5,4,5,5,4,4,3,4,3,2,1,5,1,4,2,4,1,5,5,5,5,2,1,5,2,1,5,5,5,5,1,5,4,5,5,1,5,2,1,2,1,5,5,4,5,4,5,5,5,4,5,4,5,4.909090909,4.777777778,4.666666667,1
42,0,15.43287671,1,4,2,4,1,4,3,5,1,3,4,5,1,5,2,3,4,3,4,3,4,2,4,3,4,4,3,1,3,2,1,2,3,4,4,4,4,2,3,3,4,4,4,4,1,2,2,4,2,2,2,3,3,3,3,3,2,1,1,4,3,1,3,3,3,3,3,2,2,3,1,4,4,3,3,3,2,3,3,4,4,3,2.363636364,3.111111111,2.666666667,1
43,0,15.4630137,2,3,2,4,1,4,4,4,2,2,4,4,2,4,5,4,4,4,1,5,3,5,4,4,4,4,3,3,4,3,4,5,4,4,3,4,4,3,4,3,3,4,4,3,4,2,4,4,4,4,3,2,4,3,2,4,4,4,4,2,4,4,4,4,3,4,2,2,2,4,4,4,3,4,3,4,4,3,4,4,4,2,3.909090909,3.888888889,3.5,1
44,0,15.50136986,2,4,3,3,1,5,3,4,4,3,4,4,3,4,3,3,4,4,4,3,5,2,4,2,1,4,2,2,3,2,4,4,5,3,4,2,4,4,3,3,5,2,4,4,4,2,4,4,4,5,2,1,5,1,1,4,4,5,4,2,4,3,4,4,2,4,2,2,2,2,5,4,4,5,5,5,4,4,4,4,4,4,4.272727273,4,4.5,1
45,0,15.50136986,2,4,4,3,2,3,3,4,4,3,3,3,2,3,3,3,3,4,3,2,3,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,4,2,3,3,4,3,3,4,3,2,4,4,4,4,3,2,3,2,2,4,4,4,4,3,4,3,4,3,2,4,3,2,2,3,4,4,3,4,4,4,3,4,3,4,4,3,3.727272727,3.888888889,3.5,1
46,0,15.54246575,2,4,4,4,2,4,3,3,2,5,5,5,3,5,4,5,3,2,2,2,3,3,1,3,4,3,5,5,4,3,4,3,3,4,5,5,3,4,4,5,4,2,3,3,3,3,2,5,2,1,4,4,2,3,4,2,4,3,2,4,4,2,4,1,3,2,4,3,1,4,3,3,2,2,3,2,2,3,2,3,5,2,2.090909091,3.444444444,2.333333333,1
47,0,15.5890411,1,4,4,5,3,4,4,5,3,5,5,2,4,5,5,4,2,2,5,5,4,5,5,4,4,4,4,5,5,4,3,4,4,5,5,5,4,4,3,5,3,4,4,5,3,2,4,4,1,4,2,4,4,4,2,3,3,1,4,3,4,2,3,3,2,4,2,2,2,1,5,4,4,2,2,4,3,4,4,4,4,5,2.909090909,3.666666667,4,1
48,0,15.67671233,2,4,1,5,2,4,3,5,2,4,4,5,1,5,4,5,4,5,1,5,5,3,4,3,2,3,4,4,5,3,5,4,5,4,3,4,5,2,5,3,4,3,5,2,3,5,5,5,4,4,4,2,3,1,1,4,3,5,5,3,5,4,5,4,1,5,1,1,2,1,5,1,2,4,5,5,3,5,5,5,4,5,4,4.222222222,4.666666667,1
49,0,15.78630137,2,4,3,3,3,1,3,5,4,4,4,5,5,5,5,4,5,3,2,5,4,5,5,5,2,4,5,4,2,4,5,5,5,3,4,4,5,2,3,5,4,4,5,5,5,2,4,5,4,4,3,1,4,3,2,5,4,5,4,3,5,2,5,4,2,5,3,2,1,1,5,4,3,5,3,4,3,4,3,4,5,5,3.909090909,4.444444444,4.166666667,1
50,0,15.80273973,2,2,2,3,1,5,4,4,2,3,3,2,1,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,3,2,5,3,4,4,4,2,4,1,3,2,4,1,4,4,4,3,3,4,4,4,2,2,2,1,1,3,4,3,3,2,4,4,4,4,2,4,2,2,2,2,4,3,4,4,5,5,4,4,4,4,4,4,3.818181818,3.777777778,3.833333333,1
51,0,15.85753425,1,4,3,4,1,4,3,4,3,3,4,4,1,5,1,4,3,4,3,3,4,1,3,3,3,3,4,1,4,1,3,1,4,4,4,3,4,4,5,3,3,4,3,1,1,4,3,4,1,1,3,4,3,4,4,3,4,1,4,3,5,1,4,1,4,3,4,1,1,3,3,2,3,2,2,2,3,2,2,5,5,3,1.727272727,4.111111111,2.666666667,1
52,0,15.89315068,1,3,1,5,1,5,5,5,1,4,5,5,1,5,3,5,5,5,1,3,5,3,5,1,3,5,5,1,5,1,5,3,5,5,3,3,5,1,5,1,4,1,5,1,5,3,3,4,1,2,1,1,3,1,1,5,3,3,3,2,5,3,3,3,1,4,4,1,1,1,4,3,5,5,5,5,4,5,2,5,5,5,3.363636364,4.222222222,3.833333333,1
53,0,15.92054795,1,3,4,2,1,4,3,3,4,2,4,3,4,4,3,4,3,2,4,3,5,3,4,4,3,4,4,3,2,4,4,2,4,4,3,4,4,3,3,4,4,3,4,4,5,2,3,4,3,2,2,3,4,4,3,3,3,2,4,2,4,2,4,3,2,3,3,2,2,3,3,4,4,3,2,3,4,4,3,4,4,3,3,3.777777778,3,1
54,0,15.97260274,2,5,3,4,1,4,3,4,3,4,4,4,2,4,3,5,5,4,2,3,4,2,4,4,3,3,4,4,4,3,4,3,4,4,3,5,5,2,5,3,4,4,5,4,5,3,4,4,4,3,4,3,3,3,3,3,4,4,4,2,5,3,4,3,3,3,2,2,2,2,3,3,2,3,3,3,4,3,4,4,4,4,3.363636364,3.777777778,3.333333333,1
55,0,16.0109589,2,2,3,4,3,4,3,5,2,4,4,5,1,5,5,3,4,5,4,3,3,4,5,4,1,3,4,1,4,4,5,4,5,4,3,3,5,1,3,1,3,1,5,2,5,1,4,5,4,4,2,2,3,2,1,5,4,5,4,2,5,3,5,3,1,4,2,1,1,3,4,5,4,4,4,5,4,5,4,5,5,3,4.181818182,4.666666667,3.666666667,1
56,0,16.02739726,1,4,3,4,1,4,4,4,2,4,3,5,2,1,2,4,4,3,2,4,4,3,4,2,3,4,3,2,3,3,3,5,4,4,2,3,5,5,3,1,3,3,4,4,4,3,3,4,2,4,3,3,3,4,3,4,3,2,3,4,2,4,3,2,2,2,4,2,4,2,1,3,3,3,2,3,2,4,2,4,2,4,2.909090909,3.111111111,2.333333333,1
57,0,16.04109589,1,4,4,5,4,3,3,3,4,3,5,3,2,4,3,3,3,4,5,4,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,5,1,2,3,5,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2.909090909,3.444444444,2.833333333,1
58,0,16.08767123,2,1,1,4,2,3,4,5,3,4,4,4,1,5,5,4,3,3,2,3,3,4,4,2,2,4,2,3,5,5,3,5,5,5,4,1,4,1,4,2,5,2,5,2,5,1,5,5,3,4,2,2,4,2,1,4,4,3,3,2,4,5,4,4,2,5,2,1,2,5,5,5,4,4,4,5,4,4,4,5,4,1,4.181818182,4.111111111,3.833333333,1
59,0,16.12328767,2,3,1,5,1,3,4,5,2,4,5,3,1,5,3,3,3,5,1,5,4,5,4,1,3,3,2,3,3,4,3,4,5,4,3,4,3,1,3,4,4,3,3,2,5,2,4,4,3,4,3,1,3,1,1,3,3,4,4,2,4,3,3,3,2,5,3,2,2,2,4,4,3,5,5,5,4,4,3,4,4,4,3.909090909,3.555555556,4,1
60,0,16.1890411,2,5,3,4,1,5,3,4,4,3,4,5,2,5,4,5,5,5,2,4,5,1,5,2,3,5,5,1,5,2,5,2,5,5,3,5,5,3,5,3,5,4,5,2,4,1,3,5,5,3,1,1,2,2,2,5,5,5,5,2,5,2,5,3,3,5,5,1,1,1,4,5,5,5,4,4,4,3,1,5,5,5,3.818181818,5,3.5,1
61,0,16.1890411,2,5,2,4,2,4,3,4,3,4,4,4,3,4,4,3,4,3,2,2,4,2,4,3,3,4,5,3,4,2,4,3,3,5,5,4,5,4,5,3,4,5,3,4,5,3,4,5,4,5,3,2,2,4,2,4,4,3,4,2,4,4,5,3,2,4,4,1,1,2,4,3,3,4,2,4,4,4,2,5,5,4,3.818181818,4.333333333,3,1
62,0,16.23561644,2,2,1,4,2,2,3,5,2,3,2,3,1,5,4,4,2,5,3,2,2,4,4,4,2,2,4,4,3,3,4,5,5,4,3,0,4,1,2,2,2,5,5,4,4,2,4,5,1,2,2,1,2,1,2,4,5,1,4,1,5,0,5,2,3,3,0,1,1,2,1,4,4,5,5,4,5,3, ,5,5,4,3.1,4.666666667,3,1
63,0,16.25479452,2,2,3,4,2,3,4,4,3,2,3,3,4,4,5,4,4,3,2,4,2,5,5,2,2,2,4,3,4,2,3,5,4,4,1,4,4,3,4,4,3,4,4,4,2,4,4,4,3,4,2,2,4,2,2,4,4,4,4,2,4,4,4,4,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,3.727272727,4,4,1
64,0,16.25479452,2,2,3,5,1,2,4,5,3,2,2,3,3,4,4,4,4,3,2,3,3,5,5,2,3,2,4,3,4,3,2,5,4,3,1,4,4,3,4,4,3,4,3,4,1,2,4,4,2,4,2,2,4,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.727272727,4,4,1
65,0,16.32876712,2,5,2,4,2,4,3,4,2,3,4,4,2,5,4,3,4,4,2,4,4,2,4,2,2,4,4,2,4,3,4,3,4,4,2,3,4,2,3,2,4,2,4,3,4,2,4,2,4,4,2,2,3,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,3.909090909,3.777777778,4,1
66,0,16.36438356,2,2,3,5,1,4,4,3,4,4,5,3,1,5,3,4,2,2,4,3,4,5,3,5,5,4,2,5,4,3,5,4,3,3,4,3,3,4,2,3,4,1,2,3,3,2,3,3,4,2,2,1,3,4,3,2,4,5,4,2,4,1,4,1,3,2,3,2,1,4,2,4,4,5,2,3,4,3,3,4,5,2,3.181818182,3.777777778,2.333333333,1
67,0,16.45479452,2,4,5,4,2,4,3,5,2,5,5,5,1,5,5,4,4,5,3,4,5,2,5,3,2,4,5,4,4,5,4,2,5,4,5,1,5,5,3,5,3,1,4,3,4,4,2,5,1,4,1,2,5,3,2,3,4,5,4,3,4,4,4,2,5,5,5,2,2,2,4,2,5,4,3,4,3,1,1,4,4,4,2.909090909,4.111111111,3.666666667,1
