ifam,ID,OnlineManual13,isOut,whyOut,sex,zygosity,tn_BFI1,tn_BFI2,tn_BFI3,tn_BFI4,tn_BFI5,tn_BFI6,tn_BFI7,tn_BFI8,tn_BFI9,tn_BFI10,tn_BFI11,tn_BFI12,tn_BFI13,tn_BFI14,tn_BFI15,tn_BFI16,tn_BFI17,tn_BFI18,tn_BFI19,tn_BFI20,tn_BFI21,tn_BFI22,tn_BFI23,tn_BFI24,tn_BFI25,tn_BFI26,tn_BFI27,tn_BFI28,tn_BFI29,tn_BFI30,tn_BFI31,tn_BFI32,tn_BFI33,tn_BFI34,tn_BFI35,tn_BFI36,tn_BFI37,tn_BFI38,tn_BFI39,tn_BFI40,tn_BFI41,tn_BFI42,tn_BFI43,tn_BFI44,tn_PDS3,tn_PDS4,tn_PDS5,tn_PDS6_Female,tn_PDS7_Male,tn_PDS8_Female,tn_PDS9_Male,tn_PDS10_Female,tn_PDS12_Male,EMPQ_emotional,EMPQ_cognitive,EMPQ_IRI_motiv,tn_BFI6_Rev,tn_BFI21_Rev,tn_BFI31_Rev,tn_BFI2_Rev,tn_BFI12_Rev,tn_BFI27_Rev,tn_BFI37_Rev,tn_BFI8_Rev,tn_BFI18_Rev,tn_BFI23_Rev,tn_BFI43_Rev,tn_BFI9_Rev,tn_BFI24_Rev,tn_BFI34_Rev,tn_BFI35_Rev,tn_BFI41_Rev,EXTRAVERSION,AGREEABLE,CONSCIENTIOUS,NEUROTICISM,OPENESS
1039,1,0,0, ,1,1,3,2,4,4,5,5,4,1,4,5,5,2,5,5,4,3,5,1,4,5,2,5,3,3,5,4,5,5,4,4,4,4,5,5,3,5,4,5,3,5,5,4,2,5,3,1,1, ,2, ,2, ,3,2.81818181818182,3.44444444444444,3.5,1,4,2,4,4,1,2,5,5,3,4,2,3,1,3,1,3.375,3.66666666666667,4.55555555555556,3.25,4.2
1039,4,0,0, ,1,1,5,4,5,1,5,3,4,4,5,5,5,1,5,5,5,5,2,1,1, ,1,4,1,1,5,5,1,5,2,5,4,4,5,2,1,5,3,4,1,4,4,5,4,5, , , , , , , , , ,3.18181818181818,3.33333333333333,2.33333333333333,3,5,2,2,5,5,3,2,5,5,2,1,5,4,5,2,4.375,3.77777777777778,4.22222222222222,2.5,4.55555555555556
1040,1,0,0, ,1,2,3,2,4,1,3,2,4,3,3,4,2,1,4,4,4,4,4,1,4,3,4,4,2,4,3,3,4,4,4,3,4,4,4,2,4,4,4,3,3,3,3,4,2,3,3,3,1, ,3, ,2, ,2,3.81818181818182,3.55555555555556,3.66666666666667,4,2,2,4,5,2,2,3,5,4,4,3,2,4,2,3,3,3.66666666666667,3.88888888888889,3.125,3.1
1040,4,0,0, ,1,2,3,3,4,3,4,4,4,2,4,5,3,1,4,5,4,4,2,2,5,5,3,4,1,1,4,3,2,3,5,4,4,3,3,1,4,5,3,4,2,4,3,4,4,3,2,2,1, ,2, ,2, ,4,3.81818181818182,3.66666666666667,4,2,3,2,3,5,4,3,4,4,5,2,2,5,5,2,3,3.125,3.55555555555556,3.66666666666667,4,3.8
1042,1,0,0, ,1,1,2,1,5,1,5,4,4,5,5,5,5,2,5,3,5,4,4,1,3,5,4,4,2,4,5,5,2,5,1,5,2,4,5,4,1,5,2,5,4,3,2,5,1,3, , , , , , , , , ,3.54545454545455,4.88888888888889,4.16666666666667,2,2,4,5,4,4,4,1,5,4,5,1,2,2,5,4,3.625,4.22222222222222,4.44444444444444,2.125,4.5
1042,4,0,0, ,1,1,3,1,5,1,5,4,5,3,5,5,5,1,5,1,5,4,5,1,4,5,2,5,2,2,5,5,1,5,4,5,2,5,5,5,4,5,1,5,2,5,5,5,1,5,3,4,2, ,3, ,3, ,2,2.72727272727273,4.77777777777778,3,2,4,4,5,5,5,5,3,5,4,5,1,4,1,2,1,4,5,4.66666666666667,2.25,4.3
1044,1,0,0, ,2,1,3,3,4,1,5,2,4,5,5,5,5,4,5,5,4,4,3,5,2,5,1,4,3,4,5,5,1,4,2,3,1,3,4,4,2,3,5,3,5,5,2,3,2,4, , , , , , , , , ,2.54545454545455,4.55555555555556,3.66666666666667,4,5,5,3,2,5,1,1,1,3,4,1,2,2,4,4,4.25,3.11111111111111,3.22222222222222,2.5,4.4
1044,4,0,0, ,2,1,4,3,4,1, ,1,3,4,4,5,5,4,3,1,4,3,1,5,1,4,1,4,4,5,4,5,3,4,1,3,1,3,4,5,3,3,4,3,5,3,4,3,4,3, , , , , , , , , ,2.45454545454545,4,3.66666666666667,5,5,5,3,2,3,2,2,1,2,2,2,1,1,3,2,4.375,2.66666666666667,2.77777777777778,1.625,3.44444444444444
1046,1,0,0, ,1,2,3,4,5,1,5,4,4,5,4,5,4,1,5,3,5,4,4,1,5,5,4,5,1,4,4,4,2,5,3,2,1,4,5,4,3,5,2,3,2,4,2,2,4,1,2,3,2, ,3, ,2, ,4,4,4.11111111111111,4,2,2,5,2,5,4,4,1,5,5,2,2,2,2,3,4,3.625,3.77777777777778,4,2.5,3.8
1046,4,0,0, ,1,2,4,2,3,3,4,3,4,4,2,4,4,3,3,5,3,3,3,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,3,2,4,4,3,3,4,4,4,3,3,3,2,2,2, ,3, , , ,3,3.09090909090909,3.77777777777778,2.33333333333333,3,4,2,4,3,3,3,2,3,3,3,4,3,4,2,2,3.375,3.22222222222222,2.88888888888889,3.625,3.3
1048,1,0,0, ,2,2,4,1,4,1,5,5,5,3,4,4,5,1,5,2,4,5,4,2,1,5,3,4,1,4,5,4,1,4,3,4,2,5,5,4,3,5,1,4,1,4,5,5,2,4,3,3,3,3, ,3, ,4, ,3.36363636363636,4.25,4,1,3,4,5,5,5,5,3,4,5,4,2,2,2,3,1,3.875,4.77777777777778,4.22222222222222,1.75,3.9
1048,4,0,0, ,2,2,4,2,4,1,4,4,4,2,5,5,5,1,4,2,4,4,5,3,2,3,2,5,2,3,4,4,1,5,1,4,2,4,4,4,3,5,2,3,4,4,2,5,3,4,4,3,3,3, ,1, ,4, ,4.09090909090909,4.11111111111111,3.66666666666667,2,4,4,4,5,5,4,4,3,4,3,1,3,2,3,4,4,4.55555555555556,3.77777777777778,2,3.9
1049,1,0,0, ,1,3,3,3,3,1,3,2,3,3,3,5,4,2,4,3,3,2,3,3,3,2,2,4,2,3,3,3,3,2,3,2,3,4,4,3,3,4,3,3,2,2,3,3,3,3, , , , , , , , , ,2.45454545454545,3.25,2.83333333333333,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3.375,3.33333333333333,3.22222222222222,2.625,2.9
1049,4,0,0, ,2,3,4,3,3,3,4,2,4,4,4,4,4,3,4,1,3,3,2,2,2,2,2,2,3,3,3,3,3,2,4,1,2,2, ,3,1,4,3,3,4,3,2,3,3,5, , , , , , , , , ,2.8,4,2.5,4,4,4,3,3,3,3,2,4,3,3,2,3,3,5,4,3.75,2.77777777777778,3,2.75,3.4
1051,1,0,0, ,2,2,4,2,4,1,4,3,4,4,2,4,4,2,4,4,4,3,4,2,4,4,2,4,3,1,4,2,2,3,2,4,2,2,3,1,3,4,2,2,4,4,1,3,5,5,3,3,2,3, ,3, ,4, ,3.72727272727273,3.55555555555556,3.5,3,4,4,4,4,4,4,2,4,3,1,4,5,5,3,5,3.5,3.66666666666667,2.88888888888889,3.625,4.1
1051,4,0,0, ,2,2,3,2,4,2,3,4,4,4,3,4,3,2,4,5,3,3,3,2,4,3,4,3,3,3,3,2,4,4,4,4,5,3,4,2,4,3,3,3,3,4,2,3,2,4,3,3,3,3, ,3, ,4, ,3.81818181818182,4,3.83333333333333,2,2,1,4,4,2,3,2,4,3,4,3,3,4,2,4,2.375,3.22222222222222,3.55555555555556,3.5,3.4
1054,1,0,0, ,1,3,2,4,3,1,4,4,5,2,4,5,5,1,3,3,5,3,5,2,5,5,3,2,3,2,2,2,1,4,4,5,4,4,3,4,2,5,4,2,1,4,2,4,2,4,1,2,1, ,1, ,1, ,5,3.81818181818182,4.55555555555556,4.83333333333333,2,3,2,2,5,5,2,4,4,3,4,2,4,2,4,4,3,3.77777777777778,3.33333333333333,2.75,4.2
1054,4,0,0, ,2,3,4,4,1,1,4,3,3,4,5,4,5,2,4,1,2,3,3,5,1,3,3,4,3,3,4, ,1,3,3,4,1,3,3,4,2,5,3,2,4,4,2,4,4,1,3,3,2,3, ,4, ,1, ,3.36363636363636,4,3.66666666666667,3,3,5,2,4,5,3,2,1,3,2,1,3,2,4,4,4,3.44444444444444,2.33333333333333,2,3.4
1055,1,0,0, ,2,2,5,5,4,2,5,5,4,3,5,4,4,1,5,2,5,5,4,1,2,5,4,4,2,5,4,2,4,5,2,5,5,5,5,5,3,4,1,5,1,5,1,5,5,5,2,3,3,3, ,3, ,4, ,3.27272727272727,4.11111111111111,3.33333333333333,1,2,1,1,5,2,5,3,5,4,1,1,1,1,3,5,3,3.88888888888889,4.11111111111111,1.5,4.6
1055,4,0,0, ,2,2,5,4,4,1,5,4,5,2,4,4,4,1,5,4,4,3,5,4,4,5,4,5,3,5,5,5,1,3,1,5,4,4,3,4,3,5,2,3,2,4,1,4,4,5,3,4,3,4, ,3, ,4, ,3.18181818181818,3.88888888888889,3.83333333333333,2,2,2,2,5,5,4,4,2,3,2,2,1,2,3,5,3.5,4.33333333333333,3.22222222222222,2.125,4.5
1056,1,0,0, ,1,1,3,2,2,1,2,3,5,3,2,4,3,2,3,4,3,4,4,4,4,4,3,4,3,3,3,4,1,3,3,3,4,4,3,2,2,5,4,4,4,3,3,4,3,2,1,1,2, ,3, ,2, ,3,3.90909090909091,3.77777777777778,3,3,3,2,4,4,5,2,3,2,3,3,4,3,4,4,3,3.375,4,2.88888888888889,3.375,3.1
1056,4,0,0, ,1,1,3,2,2,2,2,4,5,2,2,5,4,4,4,4,3,4,4,4,5,3,2,4,3,2,3,5,2,2,3,4,4,5,3,2,4,5,4,4,4,3,1,4,4,3,3,3,2, ,3, ,3, , ,3,3.77777777777778,4.16666666666667,2,4,2,4,2,4,2,4,2,3,2,4,4,4,2,5,3.625,3.77777777777778,2.88888888888889,3.75,3.3
1063,1,0,0, ,2,3,5,3,4,1,5,4,4,4,2,5,5,1,4,5,4,4,4,5,4,4,3,4,4,2,5,4,4,3,3,2,4,5,2,2,2,4,3,2,4,4,2,2,5,5,4,3,3, , ,4, , , ,4.36363636363636,4.88888888888889,4.16666666666667,2,3,2,3,5,2,3,2,1,2,1,4,4,4,4,4,3.625,3.55555555555556,2.33333333333333,3.625,4.2
1064,1,0,0, ,2,2,5,2,3,1,5,3,4,3,5,5,3,1,4,3,4,4,5,3,3,5,2,4,2,4,5,2,2,3,1,4,2,4,4,5,3,4,2,2,1,4,2,5,3,4,4,3,3,4, ,2, ,4, ,3.54545454545455,4.11111111111111,4.5,3,4,4,4,5,4,4,3,3,4,3,1,2,1,3,4,3.625,4.33333333333333,3.22222222222222,1.625,4.3
1064,4,0,0, ,2,2,4,4,4,3,4,3,4,1,2,5,4,3,5,5,3,4,2,1,5,3,1,5,2,2,2,5,3,4,4,5,2,5,4,2,4,4,4,4,4,4,5,4,3,4, , ,3, , ,3, ,4, ,4,4.55555555555556,4.83333333333333,3,5,4,2,3,3,2,5,5,4,3,4,4,4,2,1,4.125,3.33333333333333,4.22222222222222,4.125,3.3
1067,1,0,0, ,1,1,4,4,5,1,4,5,5,1,4,4,5,1,5,4,4,4,4,1,4,4,4,4,1,4,4,4,3,4,4,4,3,4,4,4,4,5,1,4,2,4,4,4,3,5,2,3,2, ,1, ,2, ,3,3.54545454545455,4.11111111111111,3.16666666666667,1,2,3,2,5,3,5,5,5,5,3,2,2,2,2,2,3.5,4,4.44444444444444,2.625,3.7
1067,4,0,0, ,1,1,3,3,5,3,4,3,4,2,3,2,5,3,4,2,5,5,5,3,5,5,4,2,3,2,5,3,3,4,3,4,2,4,4,3,4,2,4,3,3,4,2,4,3,3,3,4,3, ,1, ,3, ,2,3.27272727272727,3.55555555555556,3.16666666666667,3,2,4,3,3,3,2,4,3,3,3,3,4,3,2,4,3.375,3.33333333333333,3.66666666666667,3.25,3.8
1068,1,0,0, ,2,1,4,4,3,2,4,3,5,4,1,5,5,2,4,5,5,5,3,4,4,3,2,3,4,4,3,4,1,4,2,3,2,3,2,1,4,5,2,2,4,5,4,4,2,2, , , , , , , , , ,3.72727272727273,3.77777777777778,3.83333333333333,3,4,4,2,4,5,4,2,2,2,4,5,2,5,2,2,4.25,3.66666666666667,2.77777777777778,3.625,3.4
1068,4,0,0, ,2,1,4,1,5,1,3,2,5,4,1,4,5,1,2,5,3,3,3,4,4,4,2,4,4,3,2,5,1,4,1,3,3,5,4,1,3,2,1,2,1,4,2,4,1,2, , , , , , , , , ,3.27272727272727,4.44444444444444,4.16666666666667,4,4,3,5,5,5,5,2,2,2,5,5,3,5,3,4,3.75,4.55555555555556,3.11111111111111,3.125,3.2
1069,1,0,0, ,1,1,1,2,3,2,3,3,3,2,4,5,3,1,4,2,3,3,4,5,2,5,5,4,2,3,4,4,3,3,2,2,2,3,4,4,4,4,3,2,3,4,2,4,2,2, , , , , , , , , ,2.54545454545455,3.66666666666667,2.33333333333333,3,1,4,4,5,3,3,4,1,4,4,2,3,2,2,4,2.875,3.66666666666667,3.22222222222222,2.25,3.4
1069,4,0,0, ,1,1,4,2,3,1,3,3,4,2,4,4,4,2,4,4,3,3,4,2,2,5,2,2,2,3,4,4,2,3,2,3,3,3,4,3,3,4,3,3,2,3,3,4,4,2, , , , , , , , , ,3,3,2.66666666666667,3,4,3,4,4,4,3,4,4,4,2,2,3,3,3,3,3.625,3.55555555555556,3.44444444444444,2.375,3.3
1071,1,0,0, ,1,2,3,4,4,1,3,3,4,4,3,5,5,1,4,3,4,4,2,2,1,5,4,3,5,5,3,5,3,4,3,4,3,3,3,5,3,5,5,4,5,5,3,4,1,3, , , , , , , , , ,2.81818181818182,3.22222222222222,3.16666666666667,3,2,3,2,5,3,1,2,4,1,5,3,1,1,3,3,3.75,3,3.44444444444444,2.25,3.8
1072,1,0,0, ,1,2,4,2,2,1,1,5, ,3,5,2,2,2,4,4,4,5,5,4,2,3,3,4,5,5,2,4,1,2,1,2,2,5,2,4,3,5,2,3,2,4,5,4,4,1,1,2,1, ,1, ,1, ,4,3.18181818181818,4.11111111111111,3.83333333333333,1,3,4,4,4,5,4,3,2,1,2,1,1,2,3,1,3.5,4.375,2.33333333333333,1.75,2.3
1072,4,0,0, ,1,2,3,2,5,3,4,3,4,2,4,5,5,2,4,2,5,3,3,1,3,5,3,4,2,4,4,3,2,5,3,4,3,4,4,4,3,4,3,4,2,3,3,4,2,4,3,2,1, ,1, ,1, ,4,2.90909090909091,3.66666666666667,3.5,3,3,3,4,4,4,3,4,5,4,4,2,2,2,3,3,3.375,3.77777777777778,4.33333333333333,2.375,4
1074,1,0,0, ,2,2,3,2,3,1,3,4,4,2,4,4,3,2,5,4,4,3,4,2,4,5,3,2,3,3,2,3,4,4,2,3,4,4,4,2,3,4,2,4,2,3,3,4,2,2,3,4,3,3, ,3, ,1, ,3.18181818181818,4.22222222222222,4,2,3,2,4,4,2,4,4,4,3,4,2,3,4,3,3,2.875,3.55555555555556,3.88888888888889,2.75,3.2
1074,4,0,0, ,2,2,3,3,5,1,3,2,5,3,1,3,3,3,5,4,4,3,2,4,5,3,1,3,2,3,3,5,3,4,2,2,3,4,4,1,4,4,4,4,5,3,3,4,1,3,3,3,3,3, ,3, ,4, ,3.63636363636364,4.11111111111111,3.83333333333333,4,5,3,3,3,3,2,3,2,4,5,5,3,5,2,3,3.75,3.22222222222222,4,3.75,2.9
1076,1,2,0, ,1,3,4,1,5,1,2,3,3,1,4,5,3, ,5,5,4,1,1,1,3,3,1,5,1,4,2,5,1,5,4,5,4,5,5,2,2,5,4,2,5,4,4,5,2,1, , , , , , , , , ,4.11111111111111,4.11111111111111,3.4,3,5,2,5, ,5,2,5,5,5,4,2,2,4,4,2,3.5,3.875,4.55555555555556,3.25,3.2
1076,4,2,0, ,2,3,4,2,4,1,4,2,4,3,3,5,4,2,3,2,4,4,3,3,1,5,2,3,3,2,4,4,2,3,2,5,2,4,3,4,1,5,2,3,1,5,5,1,2,5, , , , , , , , , ,3.8,4.44444444444444,4.5,4,4,4,4,4,4,4,3,3,3,4,3,4,2,5,1,4.125,3.44444444444444,3.22222222222222,2,4.3
1077,1,0,0, ,1,2,3,2,3,1,4,5,4,3,3,4,4,2,4,3,4,4,3,5,2,5,4,4,3,4,4,4,3,3,2,4,4,4,4,3,3,4,3,3,1,5,4,4,4,2,3,2,2, ,3, ,3, ,4,3.36363636363636,3.66666666666667,3.83333333333333,1,2,2,4,4,3,3,3,1,3,2,3,2,3,3,2,3,3.66666666666667,2.88888888888889,2.125,3.7
1077,4,0,0, ,1,2,3,2,5,1,4,4,4,4,3,4,4,3,4,4,4,4,5,3,3,4,3,4,1,4,4,4,2,5,2,3,4,4,5,3,4,4,3,5,4,2,1,5,3,3,3,3,2, ,3, ,3, ,3,3.72727272727273,4,3.5,2,3,2,4,3,4,3,2,3,5,3,3,2,3,2,5,3.25,4,4.11111111111111,2.75,3.5
1083,1,0,0, ,2,3,4,2,5,1,5,3,5,2,4,5,5,2,5,4,4,4,4,2,2,5,2,4,3,4,4,4,2,4,1,5,2,5,4,3,4,5,2,4,2,4,1,5,2,5,3,3,2,3, ,4, ,1, ,3.72727272727273,4.11111111111111,4.16666666666667,3,4,4,4,4,4,4,4,4,3,4,2,2,3,2,5,4.125,4.33333333333333,4.11111111111111,2.125,4.4
1083,4,0,0, ,1,3,5,4,5,2,5,4,5,1,2,5,5,1,5,4,5,5,4,4,4,5,3,5,4,1,5,5,2,4,4,4,4,5,5,2,1,5,3,4,3,5,3,3,2,4,3,3,3, ,3, ,2, ,2,3.81818181818182,4.77777777777778,4.83333333333333,2,3,2,2,5,4,3,5,2,2,4,4,5,4,5,3,4,4,4,3.75,4.6
1084,1,0,0, ,1,3,4,3,4,2,4,2,4, ,4,5,2,3,4,3,4,3,4,4,3,5,3,4,3,3,4,5,4,4,3,3,1,4,3,4,3,3,4,4,4,4,4,4,3,4,2,1,1, ,1, ,1, ,5,3.81818181818182,4.44444444444444,3.66666666666667,4,3,5,3,3,2,2, ,2,3,3,2,3,2,3,2,3.625,3.33333333333333,3.375,2.75,3.8
1084,4,0,0, ,2,3,2,2,4,2,4,3,4,4,3,4,3,3,5,4,5,4,3,4,3,5,4,4,2,3,4,5,2,5,3,4,5,5,4,3,3,2,2,3,3,5,1,2,2,5,3,2,2,1, ,5, ,4, ,4.18181818181818,4,4.16666666666667,3,2,1,4,3,4,4,2,2,4,4,3,3,3,3,5,2.75,3.66666666666667,3.66666666666667,3,4.4
1087,1,0,0, ,2,2,3,5,5,4,3,2,4,1,3,4,4,3,3,3,2,3,5,1,5,3,3,1,2,5,3,3,4,3,5,5,3,5,4,1,3,3,2,3,5,3,4,1,4,3,3,2,3,3, ,3, ,4, ,2.72727272727273,3.22222222222222,3,4,3,3,1,3,2,4,5,5,4,2,3,1,5,3,2,3.25,2.88888888888889,3.77777777777778,3.875,3.1
