"","ifam","ID","gfold1113"
"137",1143,4,3
"138",1148,1,2
"139",1149,1,3
"140",1149,4,3
"141",1159,1,4
"142",1159,4,4
"143",1161,1,1
"144",1161,4,1
"145",1164,1,2
"146",1164,4,2
"147",1165,1,3
"148",1165,4,3
"149",1166,1,1
"150",1167,1,4
"151",1167,4,4
"152",1170,4,1
"153",1171,1,2
"154",1171,4,2
"155",1175,1,5
"156",1175,4,5
"157",1178,1,5
"158",1178,4,5
"159",1184,1,3
"160",3000,1,3
"161",3000,4,3
"162",3006,1,5
"163",3006,4,5
"164",3012,1,1
"165",3012,4,1
"166",3014,1,5
"167",3014,4,5
"168",3015,1,3
"169",3015,4,3
"170",3022,1,3
"171",3022,4,3
"172",3030,1,5
"173",3030,4,5
"174",3033,1,2
"175",3033,4,2
"176",3035,1,5
"177",3035,4,5
"178",3037,1,6
"179",3037,4,6
"180",3047,1,6
"181",3047,4,6
"182",3048,1,6
"183",3048,4,6
"184",3050,1,3
"185",3050,4,3
"186",3054,1,3
"187",3054,4,3
"188",3056,4,3
"189",3058,1,6
"190",3058,4,6
"191",3064,1,1
"192",3064,4,1
"193",3066,1,4
"194",3066,4,4
"195",3068,1,6
"196",3068,4,6
"197",3070,1,3
"198",3070,4,3
"199",3073,1,5
"200",3073,4,5
"201",3074,1,3
"202",3075,1,5
"203",3075,4,5
"204",3077,1,4
"205",3077,4,4
"206",3078,1,5
"207",3078,4,5
"208",3084,1,6
"209",3084,4,6
"210",3085,1,1
"211",3085,4,1
"212",3090,1,1
"213",3090,4,1
"214",3096,1,2
"215",3096,4,2
"216",3102,1,5
"217",3102,4,5
"218",3103,1,1
"219",3104,1,4
"220",3104,4,4
"221",3111,1,4
"222",3111,4,4
"223",3116,1,3
"224",3123,1,2
"225",3123,4,2
"226",3126,1,4
"227",3126,4,4
"228",3129,1,2
"229",3129,4,2
"230",3138,1,1
"231",3138,4,1
"232",3144,1,2
"233",3144,4,2
"234",3146,1,2
"235",3146,4,2
"236",3153,1,5
"237",3153,4,5
"238",3158,1,6
"239",3158,4,6
"240",3176,1,5
"241",3176,4,5
"242",3187,1,5
"243",3187,4,5
"244",3191,1,5
"245",3191,4,5
"246",3194,1,3
"247",3194,4,3
"248",3203,1,4
"249",3203,4,4
"250",3208,1,6
"251",3208,4,6
"252",3209,1,2
"253",3209,4,2
"254",3220,1,3
"255",3220,4,3
"256",3222,1,2
"257",3222,4,2
"258",3231,1,5
"259",3231,4,5
"260",3233,1,3
"261",3234,1,2
"262",3234,4,2
"263",3239,1,5
"264",3239,4,5
"265",3251,1,3
"266",3251,4,3
"267",3252,1,4
"268",3253,1,1
"269",3253,4,1
"270",3259,1,4
"271",3259,4,4
"272",3263,1,5
"273",3263,4,5
"274",3268,1,5
"275",3268,4,5
"276",3269,1,4
"277",3269,4,4
"278",3273,1,2
"279",3273,4,2
"280",3275,1,6
"281",3275,4,6
"282",3276,1,4
"283",3276,4,4
"284",3279,1,4
"285",3279,4,4
"286",3280,1,6
"287",3280,4,6
"288",3282,1,2
"289",3282,4,2
"290",3286,1,3
"291",3287,1,2
"292",3287,4,2
"293",3292,1,5
"294",3292,4,5
"295",3293,1,2
"296",3293,4,2
"297",3295,1,5
"298",3295,4,5
"299",3296,1,6
"300",3296,4,6
"301",3299,1,3
"302",3299,4,3
"303",3301,1,6
"304",3301,4,6
"305",3303,1,4
"306",3303,4,4
"307",3307,1,2
"308",3307,4,2
"309",3313,1,3
"310",3313,4,3
"311",3314,1,3
"312",3314,4,3
"313",3315,1,6
"314",3315,4,6
"315",3319,1,3
"316",3319,4,3
"317",3320,1,3
"318",3320,4,3
"319",3326,1,4
"320",3326,4,4
"321",3327,1,3
"322",3327,4,3
"323",3330,1,4
"324",3330,4,4
"325",3334,1,2
"326",3334,4,2
"327",3336,1,2
"328",3339,1,1
"329",3339,4,1
"330",3341,1,6
"331",3341,4,6
"332",3346,1,1
"333",3346,4,1
"334",3350,1,1
"335",3350,4,1
"336",3357,1,2
"337",3357,4,2
"338",3361,4,2
"339",3362,1,3
"340",3362,4,3
"341",3363,1,3
"342",3363,4,3
"343",3368,1,6
"344",3368,4,6
"345",3372,1,4
"346",3372,4,4
"347",3377,1,1
"348",3377,4,1
"349",3378,1,3
"350",3378,4,3
"351",3391,1,1
"352",3391,4,1
"353",3393,1,6
"354",3393,4,6
"355",3406,1,2
"356",3406,4,2
"357",3411,1,6
"358",3411,4,6
"359",3413,1,3
"360",3414,1,5
"361",3414,4,5
"362",3420,1,1
"363",3420,4,1
"364",3426,1,6
"365",3426,4,6
"366",3427,1,4
"367",3427,4,4
"368",3430,1,4
"369",3430,4,4
"370",3432,1,4
"371",3432,4,4
"372",3433,1,6
"373",3433,4,6
"374",3434,1,3
"375",3434,4,3
"376",3443,1,6
"377",3448,4,6
"378",3464,1,2
"379",3464,4,2
"380",3466,1,6
"381",3466,4,6
"382",3469,1,4
"383",3469,4,4
"384",3471,1,1
"385",3471,4,1
"386",3474,1,4
"387",3474,4,4
"388",3475,1,1
"389",3475,4,1
"390",3478,1,4
"391",3478,4,4
"392",3479,1,6
"393",3479,4,6
"394",3483,1,5
"395",3483,4,5
"396",3484,4,3
"397",3496,1,3
"398",3497,1,5
"399",3497,4,5
"400",3498,1,3
"401",3498,4,3
"402",3500,1,3
"403",3500,4,3
"404",3502,1,1
"405",3502,4,1
"406",3509,1,1
"407",3509,4,1
"408",3516,1,5
"409",3516,4,5
"410",3518,1,6
"411",3518,4,6
"412",3519,1,1
"413",3519,4,1
"414",3521,1,5
"415",3521,4,5
"416",3525,1,5
"417",3525,4,5
"418",3526,1,3
"419",3526,4,3
"420",3531,1,5
"421",3531,4,5
"422",3535,1,3
"423",3552,1,4
"424",3552,4,4
"425",3553,4,5
"426",3556,1,1
"427",3556,4,1
"428",3559,1,4
"429",3559,4,4
"430",3569,1,2
"431",3569,4,2
"432",3571,4,4
"433",3574,1,2
"434",3574,4,2
"435",3578,1,2
"436",3578,4,2
"437",3579,1,2
"438",3579,4,2
"439",3580,1,4
"440",3580,4,4
"441",3581,1,2
"442",3581,4,2
"443",3583,1,5
"444",3583,4,5
"445",3596,4,5
"446",3597,1,1
"447",3597,4,1
"448",3602,1,1
"449",3603,1,5
"450",3610,1,5
"451",3610,4,5
"452",3614,1,5
"453",3614,4,5
"454",3616,1,5
"455",3616,4,5
"456",3617,1,3
"457",3619,1,3
"458",3619,4,3
"459",3621,4,5
"460",3622,1,6
"461",3622,4,6
"462",3625,1,5
"463",3625,4,5
"464",3626,1,3
"465",3632,4,6
"466",3643,1,4
"467",3649,1,4
"468",3649,4,4
"469",3654,4,2
"470",3656,1,2
"471",3656,4,2
"472",3658,1,2
"473",3660,1,5
"474",3660,4,5
"475",3670,4,5
"476",3678,1,5
"477",3678,4,5
"478",3679,1,6
"479",3680,4,6
"480",3684,1,1
"481",3684,4,1
"482",3685,1,6
"483",3685,4,6
"484",3686,1,1
"485",3686,4,1
"486",3687,1,6
"487",3687,4,6
"488",3690,1,6
"489",3690,4,6
"490",3691,1,5
"491",3691,4,5
"492",3694,1,6
"493",3694,4,6
"494",3696,1,1
"495",3696,4,1
"496",3698,1,5
"497",3698,4,5
"498",3699,1,6
"499",3699,4,6
"500",3700,1,6
"501",3700,4,6
"502",3702,1,1
"503",3702,4,1
"504",3711,1,1
"505",3711,4,1
"506",3712,1,6
"507",3712,4,6
"508",3713,1,4
"509",3713,4,4
"510",3716,4,2
"511",3717,1,1
"512",3717,4,1
"513",3719,1,4
"514",3720,1,2
"515",3720,4,2
"516",3722,1,1
"517",3722,4,1
"518",3724,1,1
"519",3724,4,1
"520",3729,1,6
"521",3729,4,6
"522",3731,1,2
"523",3731,4,2
"524",3733,1,2
"525",3733,4,2
"526",3738,1,6
"527",3741,4,6
"528",3745,1,5
"529",3745,4,5
"530",3746,1,4
"531",3746,4,4
"532",3747,1,6
"533",3747,4,6
"534",3755,1,2
"535",3755,4,2
"536",3756,1,1
"537",3756,4,1
"538",3763,1,5
"539",3763,4,5
"540",3766,1,1
"541",3766,4,1
"542",3768,1,3
"543",3768,4,3
"544",3769,1,4
"545",3769,4,4
"546",3771,1,3
"547",3771,4,3
"548",3775,1,4
"549",3782,1,1
"550",3785,1,6
"551",3801,1,6
"552",3801,4,6
"553",3802,4,6
"554",3804,1,4
"555",3804,4,4
"556",3810,1,5
"557",3810,4,5
"558",3821,4,3
"559",3823,1,5
"560",3823,4,5
"561",3826,1,5
"562",3826,4,5
"563",3840,1,4
"564",3841,1,1
"565",3841,4,1
"566",3845,1,3
"567",3845,4,3
"568",3846,4,3
"569",3847,1,1
"570",3847,4,1
"571",3848,1,3
"572",3848,4,3
"573",3849,1,4
"574",3849,4,4
"575",3858,1,6
"576",3858,4,6
"577",3859,1,6
"578",3859,4,6
"579",3863,1,1
"580",3863,4,1
"581",3871,1,5
"582",3871,4,5
"583",3874,1,3
"584",3874,4,3
"585",3877,1,6
"586",3877,4,6
"587",3878,1,5
"588",3878,4,5
"589",3879,4,4
"590",3885,1,3
"591",3885,4,3
"592",3894,1,5
"593",3894,4,5
"594",3895,1,4
"595",3895,4,4
"596",3896,1,3
"597",3896,4,3
"598",3905,1,4
"599",3905,4,4
"600",3906,1,2
"601",3906,4,2
"602",3908,1,6
"603",3908,4,6
"604",3913,1,4
"605",3915,4,2
"606",3923,1,2
"607",3928,1,5
"608",3928,4,5
"609",3931,1,6
"610",3931,4,6
"611",3936,4,5
"612",3938,1,4
"613",3938,4,4
"614",3939,1,2
"615",3939,4,2
"616",3942,1,5
"617",3942,4,5
"618",3946,1,1
"619",3946,4,1
"620",3947,4,1
"621",3948,1,5
"622",3948,4,5
"623",3950,1,4
"624",3950,4,4
"625",3953,1,2
"626",3953,4,2
"627",3954,1,5
"628",3954,4,5
"629",3955,1,5
"630",3955,4,5
"631",3959,1,2
"632",3959,4,2
"633",3961,1,5
"634",3961,4,5
"635",3962,1,2
"636",3962,4,2
"637",3965,1,4
"638",3965,4,4
"639",3971,1,2
"640",3971,4,2
"641",3974,1,1
"642",3974,4,1
"643",3977,1,4
"644",3977,4,4
"645",3994,4,3
"646",3998,1,1
"647",4001,1,4
"648",4001,4,4
"649",4007,1,3
"650",4007,4,3
"651",4009,1,6
"652",4009,4,6
"653",4011,1,4
"654",4011,4,4
"655",4018,1,6
"656",4018,4,6
"657",4021,1,2
"658",4021,4,2
"659",4023,4,4
"660",4051,1,6
"661",4051,4,6
"662",4055,1,2
"663",4055,4,2
"664",4066,1,3
"665",4066,4,3
"666",4070,1,5
"667",4076,1,5
"668",4076,4,5
"669",4083,1,2
"670",4083,4,2
"671",4087,1,2
"672",4087,4,2
"673",6003,1,1
"674",6003,4,1
"675",6009,1,3
"676",6017,1,5
"677",6017,4,5
"678",6020,1,2
"679",6020,4,2
"680",8001,1,1
"681",8001,4,1
"682",8003,1,1
"683",8003,4,1
"684",8007,1,5
"685",8008,1,2
"686",8012,1,2
"687",8012,4,2
"688",8013,1,5
"689",8013,4,5
"690",8014,1,6
"691",8014,4,6
"692",8021,1,4
"693",8021,4,4
"694",8024,1,5
"695",8024,4,5
"696",8026,1,1
"697",8026,4,1
"698",8028,1,6
"699",8028,4,6
"700",8032,1,2
"701",8033,1,6
"702",8033,4,6
"703",8038,1,5
"704",8038,4,5
"705",8041,1,2
"706",8041,4,2
"707",8044,1,6
"708",8044,4,6
"709",8046,1,1
"710",8046,4,1
"711",8048,1,5
"712",8048,4,5
"713",8054,1,2
"714",8054,4,2
"715",8056,1,1
"716",8056,4,1
"717",8062,1,5
"718",8062,4,5
"719",8063,1,5
"720",8064,1,6
"721",8064,4,6
"722",8070,1,4
"723",8070,4,4
"724",8075,1,4
"725",8075,4,4
"726",8076,1,3
"727",8076,4,3
"728",8081,4,1
"729",8082,1,6
"730",8082,4,6
"731",8085,1,6
"732",8085,4,6
"733",8088,1,1
"734",8088,4,1
"735",8097,1,2
"736",8097,4,2
"737",8100,1,1
"738",8100,4,1
"739",8112,1,1
"740",8112,4,1
"741",8121,1,5
"742",8121,4,5
"743",8123,1,1
"744",8123,4,1
"745",8131,1,3
"746",8131,4,3
"747",8139,1,2
"748",8139,4,2
"749",8140,1,3
"750",8140,4,3
"751",8144,1,6
"752",8146,1,3
"753",8146,4,3
"754",8149,1,3
"755",8149,4,3
"756",8153,1,2
"757",8153,4,2
"758",8155,1,5
"759",8155,4,5
"760",8156,1,5
"761",8156,4,5
"762",8162,1,6
"763",8162,4,6
"764",8166,1,4
"765",8166,4,4
"766",8170,1,2
"767",8170,4,2
"768",8173,1,3
"769",8176,1,6
"770",8176,4,6
"771",8177,1,6
"772",8177,4,6
"773",8178,1,3
"774",8178,4,3
"775",8182,1,4
"776",8182,4,4
"777",8183,1,6
"778",8188,1,6
"779",8188,4,6
"780",8190,1,5
"781",8195,1,6
"782",8195,4,6
"783",8196,1,2
"784",8196,4,2
"785",8209,1,3
"786",8209,4,3
"787",8210,1,1
"788",8210,4,1
"789",8212,1,1
"790",8212,4,1
"791",8217,1,4
"792",8217,4,4
"793",8218,1,6
"794",8218,4,6
"795",8219,1,1
"796",8219,4,1
"797",8224,1,4
"798",8224,4,4
"799",8233,4,6
"800",8240,1,1
"801",8240,4,1
"802",8246,4,1
"803",8253,4,1
"804",8258,1,2
"805",8258,4,2
"806",8266,1,6
"807",8266,4,6
"808",8267,4,3
"809",8277,1,4
"810",8277,4,4
"811",8294,1,2
"812",8294,4,2
"813",8302,1,4
"814",8302,4,4
"815",8303,1,5
"816",8303,4,5
"817",8318,1,1
"818",8320,1,5
"819",8320,4,5
"820",8334,1,5
"821",8334,4,5
